"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.37042569538737,0.332554748892773,-4.12090249785981,3.77391126750512e-05
"original_masc",0.41765274416872,0.163454383699825,2.55516392228254,0.0106137800914797
"original_fem",0.974930918361658,0.164335123545775,5.93257787699957,2.98214859685457e-09
"context_fem",0.531278257864235,0.311088987757382,1.7078015576642,0.0876731699700566
"context_neut",0.122860705396099,0.441492039033537,0.278285211359759,0.780793427556604
"prompt_gender_dec",1.01038630649762,0.053900996687613,18.7452249232677,2.1177457872561e-78
"prompt_pronoun_dec",0.951481901201229,0.0537456876649135,17.7034091950484,3.9467549929026e-70
"prompt_masc",0.112938022704497,0.0873395072383476,1.29309205278994,0.195979223446067
"prompt_fem",-0.0628127197286757,0.0877251252971611,-0.716017441022777,0.473980579614445
"original_masc:context_fem",-0.187691143784932,0.187626701282349,-1.00034346125654,0.317144321268965
"original_fem:context_masc",0.533290919655227,0.191085542226438,2.79084913197291,0.00525699697450307
"context_neut:original_gend",0.303080851258186,0.242974438546333,1.24737751457091,0.212259107275562
"original_masc:prompt_fem",1.53596519486564,0.102761576651448,14.9468823359474,1.63213292585003e-50
"original_fem:prompt_masc",1.46007467531818,0.104852469298805,13.9250385334971,4.46300740410517e-44
"original_gend:prompt_neut",1.11494038933569,0.102305210409275,10.898177960588,1.17588349182167e-27
