task_wording,role_noun_gender,cat_gender-specific,cat_inclusivity,cat_positive,cat_negative,count
unknown gender,feminine,0.18421052631578946,0.6684210526315789,0.8210526315789474,0.1631578947368421,190
unknown gender,masculine,0.042704626334519574,0.47686832740213525,0.693950177935943,0.15658362989323843,281
gender declaration nonbinary,feminine,0.6767955801104972,0.8453038674033149,0.2983425414364641,0.07458563535911603,362
gender declaration nonbinary,masculine,0.48633879781420764,0.7841530054644809,0.36065573770491804,0.08469945355191257,366
gender declaration woman,feminine,0.12222222222222222,0.6962962962962963,0.8518518518518519,0.14814814814814814,270
gender declaration woman,masculine,0.20708446866485014,0.6376021798365122,0.6049046321525886,0.1771117166212534,367
gender declaration man,feminine,0.5283582089552239,0.7731343283582089,0.6358208955223881,0.0955223880597015,335
gender declaration man,masculine,0.06147540983606557,0.46311475409836067,0.7418032786885246,0.18032786885245902,244
pronoun declaration they/them,feminine,0.5271867612293144,0.8486997635933806,0.29550827423167847,0.08747044917257683,423
pronoun declaration they/them,masculine,0.3267543859649123,0.7763157894736842,0.33114035087719296,0.125,456
pronoun declaration she/her,feminine,0.23509933774834438,0.7615894039735099,0.7052980132450332,0.23178807947019867,302
pronoun declaration she/her,masculine,0.183206106870229,0.6743002544529262,0.5877862595419847,0.21374045801526717,393
pronoun declaration he/him,feminine,0.535,0.7575,0.505,0.1175,400
pronoun declaration he/him,masculine,0.09342560553633218,0.5536332179930796,0.7993079584775087,0.2560553633217993,289
pronoun usage their,feminine,0.13227513227513227,0.6243386243386243,0.7671957671957672,0.1164021164021164,189
pronoun usage their,masculine,0.039711191335740074,0.5487364620938628,0.6678700361010831,0.148014440433213,277
pronoun usage her,feminine,0.1276595744680851,0.6117021276595744,0.8138297872340425,0.1702127659574468,188
pronoun usage her,masculine,0.05571847507331378,0.5659824046920822,0.6950146627565983,0.1495601173020528,341
pronoun usage his,feminine,0.18041237113402062,0.6958762886597938,0.7577319587628866,0.14432989690721648,194
pronoun usage his,masculine,0.05084745762711865,0.5084745762711864,0.7457627118644068,0.1440677966101695,236
