task_wording,inclusive,modern,professional,count,prop_inclusive,prop_modern,prop_professional
gender declaration nonbinary,688,76,50,1192,0.5771812080536913,0.06375838926174497,0.04194630872483222
gender declaration woman,345,132,146,717,0.4811715481171548,0.18410041841004185,0.20362622036262204
gender declaration man,232,104,102,600,0.38666666666666666,0.17333333333333334,0.17
pronoun declaration they/them,741,105,48,1323,0.5600907029478458,0.07936507936507936,0.036281179138321996
pronoun declaration she/her,543,184,109,827,0.656590084643289,0.22249093107617895,0.13180169286577992
pronoun declaration he/him,416,135,69,773,0.538163001293661,0.17464424320827943,0.08926261319534282
pronoun usage their,208,105,111,491,0.42362525458248473,0.21384928716904278,0.22606924643584522
pronoun usage her,259,144,106,568,0.45598591549295775,0.2535211267605634,0.18661971830985916
pronoun usage his,206,105,96,473,0.4355179704016913,0.2219873150105708,0.2029598308668076
