index,stem,words,total_frequency
0,career-,['career-woman'],18
1,needle,['needlewoman'],11
2,show-,['show-woman'],8
3,mother,['motherwoman'],7
4,service,['servicewoman'],7
5,fisher-,['fisher-woman'],6
6,super-,['super-woman'],6
7,pro-,['pro-woman'],5
8,cis,['ciswoman'],3
9,wonder-,['wonder-woman'],3
10,seidr,['seidrwoman'],3
11,power,['powerwoman'],2
12,back-,['back-woman'],2
13,leather-,['leather-woman'],2
14,girl-,['girl-woman'],2
15,well,['wellwoman'],2
16,sha-,['sha-woman'],2
17,working-,['working-woman'],2
18,wilderness-,['wilderness-woman'],2
19,advert,['advertwoman'],2
20,mostly-,['mostly-woman'],2
21,all-,['all-woman'],2
22,s,['swoman'],1
23,service-,['service-woman'],1
24,woodsy-,['woodsy-woman'],1
25,planet,['planetwoman'],1
26,pen-,['pen-woman'],1
27,non-sports,['non-sportswoman'],1
28,night-watch,['night-watchwoman'],1
29,opinionated,['opinionatedwoman'],1
30,solo-,['solo-woman'],1
31,wyse,['wysewoman'],1
32,snake-,['snake-woman'],1
33,wonderwriter,['wonderwriterwoman'],1
34,stable,['stablewoman'],1
35,mundybusiness,['mundybusinesswoman'],1
36,superb,['superbwoman'],1
37,superwonder,['superwonderwoman'],1
38,tax-,['tax-woman'],1
39,tech,['techwoman'],1
40,thunder,['thunderwoman'],1
41,white-,['white-woman'],1
42,wise-,['wise-woman'],1
43,witchy-,['witchy-woman'],1
44,wolf-,['wolf-woman'],1
45,&,['&woman'],1
46,midlife,['midlifewoman'],1
47,multi,['multiwoman'],1
48,miners,['minerswoman'],1
49,crone,['cronewoman'],1
50,colour,['colourwoman'],1
51,club-,['club-woman'],1
52,clever-,['clever-woman'],1
53,clans,['clanswoman'],1
54,cave-,['cave-woman'],1
55,career,['careerwoman'],1
56,cair,['cairwoman'],1
57,bree-,['bree-woman'],1
58,brain-,['brain-woman'],1
59,bowdenbusiness,['bowdenbusinesswoman'],1
60,born-,['born-woman'],1
61,booty,['bootywoman'],1
62,bi-,['bi-woman'],1
63,asper,['asperwoman'],1
64,design,['designwoman'],1
65,familiy,['familiywoman'],1
66,first,['firstwoman'],1
67,intrepid,['intrepidwoman'],1
68,millercongress,['millercongresswoman'],1
69,.gentle,['.gentlewoman'],1
70,made-,['made-woman'],1
71,kopper,['kopperwoman'],1
72,kept-,['kept-woman'],1
73,jelly,['jellywoman'],1
74,inspiring,['inspiringwoman'],1
75,fishing,['fishingwoman'],1
76,indians-,['indians-woman'],1
77,idea,['ideawoman'],1
78,healthandhealing,['healthandhealingwoman'],1
79,girl,['girlwoman'],1
80,florida,['floridawoman'],1
81,fit,['fitwoman'],1
82,y,['ywoman'],1
